GEOID,Tract,Block,LRS,MajorPlace,MinorPlace,Pop2017,Undercount
470650103042,010304,2,9.1,Hamilton County,None,1329,121
470650113141,011314,1,9,Hamilton County,None,1745,157
470650114131,011413,1,9,Harrison,None,885,80
470650112042,011204,2,9,Collegedale,Hamilton County,732,66
470650101013,010101,3,8.9,Hamilton County,None,1716,153
470650113262,011326,2,8.1,Chattanooga,None,875,71
470650112014,011201,4,8,Collegedale,Chattanooga,2117,169
470650105014,010501,4,8,Chattanooga,Red Bank,711,57
470650104112,010411,2,8,Middle Valley,None,906,72
470650104121,010412,1,7.9,Soddy-Daisy,Middle Valley,1789,141
470650007002,000700,2,7.8,Chattanooga,None,601,47
470650111001,011100,1,7.7,Signal Mountain,Hamilton County,2486,191
470650113232,011323,2,7.4,Chattanooga,Hamilton County,2962,219
470650113241,011324,1,7.3,Hamilton County,None,1805,132
470650104123,010412,3,7.1,Middle Valley,None,1246,88
470650114473,011447,3,6.8,Chattanooga,Hamilton County,2514,171
470650113263,011326,3,6.5,Chattanooga,None,1303,85
470650101043,010104,3,6.4,Hamilton County,None,1131,72
470650112033,011203,3,6.1,Collegedale,Hamilton County,2063,126
470650106001,010600,1,5.8,Red Bank,Chattanooga,496,29
470650113213,011321,3,4.5,Chattanooga,None,2017,91
470650007001,000700,1,3.9,Chattanooga,None,990,39
470650101044,010104,4,3.8,Hamilton County,None,749,28
470650104313,010431,3,3.8,Chattanooga,None,2000,76
470650113112,011311,2,3.5,Chattanooga,Hamilton County,850,30
470650118003,011800,3,3.1,East Ridge,None,685,21
470650104322,010432,2,2.6,Chattanooga,Red Bank,2990,78
470650105011,010501,1,1.7,Red Bank,Chattanooga,441,7
470650104333,010433,3,0.1,Chattanooga,None,618,1
470659802001,980200,1,0,None,None,0,0
470659801001,980100,1,0,None,None,0,0
470650116004,011600,4,0,East Ridge,None,310,0
470650114472,011447,2,0,Chattanooga,Hamilton County,447,0
470650104323,010432,3,0,Chattanooga,None,928,0
470650104311,010431,1,0,Chattanooga,Middle Valley,2004,0
470650103031,010303,1,0,Soddy-Daisy,Hamilton County,299,0
